Title,Geographic,Industry,Profession,Ticker,Keyword,Competitor Ticker,Competitor Keyword,Broadcast Keyword,Finance Keyword,Bing Keyword,Blog Keyword,Twitter
SOUTHWEST AIRLINES,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",NYSE:LUV,"NYSE:LUV,""SOUTHWEST AIRLINES""","ASX:QAN,NYSE:ALK,NYSE:UAL,NYSE:DAL,BOM:500285","QAN.AX,$ALK,$UAL,$DAL,SPJT.BO",SOUTHWEST AIRLINES,NYSE:LUV,"NYSE:LUV,SOUTHWEST AIRLINES","NYSE:LUV,SOUTHWEST AIRLINES",$LUV
SPICEJET,India,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",BOM:500285,"BOM:500285,""SPICEJET""","NYSE:LUV,NYSE:UAL,NYSE:DAL,NSE:JETAIRWAYS,HKG:0293","$LUV,$UAL,$DAL,JET.NS,0293.HK",SPICEJET,BOM:500285,"BOM:500285,SPICEJET","BOM:500285,SPICEJET",SPJT.BO
INTERNATIONAL CONSOLIDATED AIRLINES,United Kingdom,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",LON:IAG,"LON:IAG,""INTERNATIONAL CONSOLIDATED AIRLINES""","LON:EZJ,ASX:QAN,NYSE:ALK,NYSE:LUV,NYSE:UAL","EZJ.L,QAN.AX,$ALK,$LUV,$UAL",INTERNATIONAL CONSOLIDATED AIRLINES,LON:IAG,"LON:IAG,INTERNATIONAL CONSOLIDATED AIRLINES","LON:IAG,INTERNATIONAL CONSOLIDATED AIRLINES",ICAG.L
CATHAY PACIFIC AIRWAYS,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",HKG:0293,"HKG:0293,""CATHAY PACIFIC AIRWAYS""","BOM:500285,NSE:JETAIRWAYS,TPE:2618","SPJT.BO,JET.NS,2618.TW",CATHAY PACIFIC AIRWAYS,HKG:0293,"HKG:0293,CATHAY PACIFIC AIRWAYS","HKG:0293,CATHAY PACIFIC AIRWAYS",0293.HK
KINGFISHER AIRLINES,India,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",NSE:KFA,"NSE:KFA,""KINGFISHER AIRLINES""","NYSE:ALK,NYSE:LUV,NYSE:UAL,NYSE:DAL,BOM:500285","$ALK,$LUV,$UAL,$DAL,SPJT.BO",KINGFISHER AIRLINES,NSE:KFA,"NSE:KFA,KINGFISHER AIRLINES","NSE:KFA,KINGFISHER AIRLINES",KING.NS
UNITED CONTINENTAL ,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",NYSE:UAL,"NYSE:UAL,""UNITED CONTINENTAL ""","ASX:QAN,NYSE:ALK,NYSE:LUV,NYSE:DAL,BOM:500285","QAN.AX,$ALK,$LUV,$DAL,SPJT.BO",UNITED CONTINENTAL ,NYSE:UAL,"NYSE:UAL,UNITED CONTINENTAL ","NYSE:UAL,UNITED CONTINENTAL ",$UAL
AIR CANADA,Canada,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",TSE:AC.B,"TSE:AC.B,""AIR CANADA""","NASDAQ:SKYW,NZE:AIR,EPA:AF","$SKYW,AIR.NZ,AIRF.PA",AIR CANADA,TSE:AC.B,"TSE:AC.B,AIR CANADA","TSE:AC.B,AIR CANADA",ACb.TO
AIR CHINA,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",HKG:0753,"HKG:0753,""AIR CHINA""","NSE:JETAIRWAYS,HKG:0293,TPE:2618","JET.NS,0293.HK,2618.TW",AIR CHINA,HKG:0753,"HKG:0753,AIR CHINA","HKG:0753,AIR CHINA",0753.HK
AIR FRANCE KLM,France,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",EPA:AF,"EPA:AF,""AIR FRANCE KLM""","NASDAQ:SKYW,NZE:AIR,NASDAQ:JBLU,LON:EZJ","$SKYW,AIR.NZ,$JBLU,EZJ.L",AIR FRANCE KLM,EPA:AF,"EPA:AF,AIR FRANCE KLM","EPA:AF,AIR FRANCE KLM",AIRF.PA
AIR New Zealand,New Zealand,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",NZE:AIR,"NZE:AIR,""AIR New Zealand""","NASDAQ:SKYW,EPA:AF,NASDAQ:JBLU,LON:EZJ","$SKYW,AIRF.PA,$JBLU,EZJ.L",AIR New Zealand,NZE:AIR,"NZE:AIR,AIR New Zealand","NZE:AIR,AIR New Zealand",AIR.NZ
EVA AIRWAYS,Taiwan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking",TPE:2618,"TPE:2618,""EVA AIRWAYS""","BOM:500285,NSE:JETAIRWAYS,HKG:0293","SPJT.BO,JET.NS,0293.HK",EVA AIRWAYS,TPE:2618,"TPE:2618,EVA AIRWAYS","TPE:2618,EVA AIRWAYS",2618.TW
